Month,Monthly Income,Food,Utilities,Travel,Housing,Debt,Insurance
January,2400.0,100.0,200.0,300.0,400.0,600.0,500.0
February,0.0,0.0,0.0,0.0,0.0,0.0,0.0
March,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April,0.0,0.0,0.0,0.0,0.0,0.0,0.0
May,0.0,0.0,0.0,0.0,0.0,0.0,0.0
June,0.0,0.0,0.0,0.0,0.0,0.0,0.0
July,0.0,0.0,0.0,0.0,0.0,0.0,0.0
August,0.0,0.0,0.0,0.0,0.0,0.0,0.0
September,0.0,0.0,0.0,0.0,0.0,0.0,0.0
October,0.0,0.0,0.0,0.0,0.0,0.0,0.0
November,0.0,0.0,0.0,0.0,0.0,0.0,0.0
December,0.0,0.0,0.0,0.0,0.0,0.0,0.0
